id,neighborhood,room_type,minimum_nights,number_of_reviews,availability_365,latitude,longitude,price
101717,Brooklyn,Entire home/apt,25,66,244,40.746233,-73.8347,364
101718,Manhattan,Shared room,7,119,55,40.521773,-73.890004,142
101719,Manhattan,Shared room,30,65,67,40.892495,-73.746826,198
101720,Brooklyn,Entire home/apt,17,124,170,40.584479,-74.086254,201
101721,Queens,Entire home/apt,18,153,275,40.746829,-73.878507,351
101722,Bronx,Private room,7,190,205,40.512383,-73.847756,351
101723,Queens,Shared room,11,69,137,40.798677,-73.92093,345
101724,Queens,Entire home/apt,1,94,52,40.750044,-73.828112,326
101725,Bronx,Entire home/apt,3,158,232,40.843728,-74.137208,309
101726,Bronx,Entire home/apt,21,143,160,40.881968,-74.106236,176
101727,Queens,Shared room,28,123,211,40.600116,-73.882335,222
101728,Queens,Shared room,12,27,320,40.855729,-73.939993,84
101729,Staten Island,Entire home/apt,3,197,43,40.895231,-73.982378,256
101730,Bronx,Entire home/apt,13,126,56,40.54314,-74.212701,263
101731,Staten Island,Shared room,27,75,8,40.564968,-74.077318,352
101732,Brooklyn,Private room,20,74,223,40.636017,-74.04204,349
101733,Bronx,Shared room,25,118,314,40.55488,-73.98914,357
101734,Brooklyn,Shared room,11,58,69,40.525783,-73.95787,214
101735,Staten Island,Private room,4,39,154,40.615099,-73.839508,151
101736,Brooklyn,Private room,10,117,234,40.553938,-74.105782,264
101737,Manhattan,Private room,18,115,359,40.837946,-73.840623,150
101738,Manhattan,Shared room,30,2,178,40.735709,-73.883647,194
101739,Queens,Private room,1,177,70,40.731148,-74.165156,111
101740,Queens,Private room,30,106,47,40.632854,-73.721002,153
101741,Manhattan,Entire home/apt,11,16,192,40.806708,-73.892312,385
101742,Bronx,Entire home/apt,24,125,309,40.622958,-73.786293,296
101743,Staten Island,Entire home/apt,3,162,290,40.750443,-74.169577,104
101744,Manhattan,Shared room,21,69,129,40.644548,-74.091406,209
101745,Queens,Shared room,7,85,101,40.86463,-73.874805,97
101746,Brooklyn,Shared room,7,127,285,40.893843,-73.75642,352
101747,Queens,Entire home/apt,16,198,96,40.864956,-74.215581,361
101748,Staten Island,Private room,21,200,12,40.896307,-74.213942,396
101749,Brooklyn,Private room,28,146,43,40.520552,-74.21608,190
101750,Brooklyn,Shared room,6,95,225,40.618223,-74.105519,214
101751,Bronx,Entire home/apt,3,96,129,40.738634,-73.964348,112
101752,Manhattan,Private room,4,151,80,40.655788,-73.911147,338
101753,Staten Island,Entire home/apt,19,175,156,40.663552,-74.246032,108
101754,Bronx,Private room,4,139,239,40.756894,-73.98757,202
101755,Bronx,Shared room,7,113,1,40.880662,-74.194071,74
101756,Manhattan,Entire home/apt,19,158,223,40.708884,-74.078274,99
101757,Staten Island,Entire home/apt,20,43,302,40.528365,-74.189065,46
101758,Manhattan,Entire home/apt,13,185,365,40.771127,-73.902014,81
101759,Queens,Private room,4,176,175,40.511313,-73.998025,249
101760,Manhattan,Private room,30,55,238,40.596171,-73.889941,353
101761,Bronx,Shared room,20,169,160,40.680964,-74.225196,121
101762,Staten Island,Shared room,28,60,42,40.643274,-74.184255,240
101763,Queens,Shared room,1,81,246,40.648857,-74.019342,138
101764,Queens,Private room,20,41,292,40.775723,-73.870201,232
101765,Manhattan,Shared room,1,110,324,40.675124,-73.96146,276
101766,Bronx,Shared room,7,154,303,40.573976,-74.192893,99
101767,Queens,Shared room,24,132,21,40.77696,-74.227953,146
101768,Bronx,Entire home/apt,8,165,47,40.54278,-73.822059,254
101769,Staten Island,Entire home/apt,3,110,203,40.683946,-74.178956,212
101770,Manhattan,Private room,8,142,150,40.612328,-73.98489,375
101771,Brooklyn,Private room,13,121,238,40.896527,-73.806884,173
101772,Bronx,Private room,9,96,138,40.706615,-74.237626,264
101773,Brooklyn,Private room,17,127,104,40.686483,-74.131448,302
101774,Staten Island,Entire home/apt,2,108,303,40.746905,-74.086239,116
101775,Manhattan,Shared room,12,14,150,40.845799,-74.244785,375
101776,Queens,Entire home/apt,6,123,135,40.598342,-73.8637,224
101777,Staten Island,Entire home/apt,16,164,28,40.706811,-73.921711,112
101778,Queens,Private room,28,132,87,40.72059,-73.865988,259
101779,Manhattan,Entire home/apt,5,115,216,40.753131,-73.756474,109
101780,Manhattan,Shared room,16,149,121,40.810405,-74.188392,323
101781,Brooklyn,Private room,12,17,90,40.520188,-74.153885,88
101782,Manhattan,Entire home/apt,28,37,236,40.545073,-73.945424,271
101783,Staten Island,Private room,26,84,150,40.849263,-73.863938,80
101784,Staten Island,Shared room,6,120,334,40.570586,-73.927637,329
101785,Queens,Private room,15,139,289,40.7277,-74.171669,393
101786,Staten Island,Private room,12,122,308,40.862209,-73.852652,40
101787,Queens,Entire home/apt,19,198,177,40.731902,-73.893295,325
101788,Staten Island,Entire home/apt,19,126,308,40.724096,-74.233282,280
101789,Manhattan,Entire home/apt,8,44,139,40.764244,-73.957299,270
101790,Manhattan,Shared room,26,119,32,40.832174,-74.10038,157
101791,Bronx,Entire home/apt,5,21,9,40.840337,-74.161476,115
101792,Brooklyn,Entire home/apt,23,192,216,40.648071,-73.893932,252
101793,Staten Island,Shared room,28,108,80,40.788356,-73.948813,69
101794,Queens,Entire home/apt,13,25,293,40.596812,-74.136349,99
101795,Staten Island,Shared room,5,48,147,40.509318,-74.182112,380
101796,Bronx,Private room,20,139,140,40.697622,-73.781835,73
101797,Queens,Shared room,19,196,13,40.76365,-74.204832,313
101798,Queens,Shared room,2,52,130,40.898193,-74.084507,126
101799,Queens,Private room,5,15,55,40.859549,-73.900211,392
101800,Manhattan,Private room,28,29,185,40.559478,-73.90177,97
101801,Brooklyn,Shared room,12,142,269,40.648429,-73.759762,275
101802,Manhattan,Shared room,22,117,277,40.553914,-73.94671,257
101803,Brooklyn,Entire home/apt,26,164,328,40.514322,-74.043634,164
101804,Brooklyn,Shared room,22,50,356,40.885767,-73.788374,66
101805,Staten Island,Entire home/apt,27,128,47,40.837712,-74.141857,398
101806,Brooklyn,Private room,13,107,343,40.630142,-73.758831,324
101807,Manhattan,Shared room,19,155,97,40.540956,-74.220891,260
101808,Brooklyn,Shared room,17,5,63,40.684355,-74.23208,315
101809,Queens,Shared room,16,68,60,40.777194,-73.84412,320
101810,Manhattan,Private room,1,37,175,40.524743,-74.089979,277
101811,Brooklyn,Entire home/apt,25,8,29,40.51365,-74.159625,349
101812,Manhattan,Shared room,21,64,350,40.747739,-73.904948,245
101813,Staten Island,Private room,15,94,243,40.578881,-74.218239,50
101814,Brooklyn,Shared room,15,180,264,40.673919,-73.995553,181
101815,Manhattan,Private room,17,79,39,40.75894,-74.11433,114
101816,Staten Island,Entire home/apt,10,49,239,40.744883,-74.129309,173
101817,Brooklyn,Entire home/apt,3,5,331,40.823861,-74.045891,145
101818,Manhattan,Shared room,5,163,140,40.511611,-73.831056,312
101819,Bronx,Private room,2,14,33,40.846288,-73.984269,297
101820,Bronx,Shared room,13,27,43,40.713264,-74.123315,314
101821,Staten Island,Entire home/apt,29,135,79,40.662208,-74.056079,102
101822,Staten Island,Entire home/apt,14,87,229,40.76478,-73.700004,46
101823,Manhattan,Shared room,4,131,200,40.805262,-74.011897,200
101824,Staten Island,Private room,18,114,74,40.7852,-74.031365,175
101825,Bronx,Shared room,6,60,18,40.744338,-73.89194,167
101826,Brooklyn,Shared room,10,151,82,40.779804,-73.887703,338
101827,Queens,Entire home/apt,10,166,326,40.701714,-74.0255,273
101828,Brooklyn,Shared room,8,62,118,40.575401,-73.787887,345
101829,Brooklyn,Shared room,14,48,256,40.747653,-74.207065,313
101830,Staten Island,Private room,15,15,188,40.789027,-73.88391,389
101831,Manhattan,Entire home/apt,8,135,260,40.790725,-73.729557,175
101832,Bronx,Private room,24,134,275,40.669778,-74.163566,188
101833,Queens,Private room,18,93,73,40.585234,-74.060801,219
101834,Staten Island,Shared room,13,172,122,40.759738,-74.154986,301
101835,Manhattan,Private room,10,196,106,40.532048,-73.905329,294
101836,Queens,Private room,6,150,247,40.842269,-73.900716,217
101837,Manhattan,Private room,10,25,52,40.876849,-74.066091,226
101838,Queens,Private room,22,32,285,40.838468,-73.904321,398
101839,Brooklyn,Entire home/apt,16,196,249,40.511081,-73.800128,59
101840,Manhattan,Shared room,11,150,54,40.785341,-74.097514,88
101841,Queens,Shared room,14,14,72,40.750899,-74.10137,347
101842,Staten Island,Entire home/apt,18,178,190,40.511054,-74.20826,360
101843,Brooklyn,Private room,2,23,126,40.899573,-73.824991,70
101844,Bronx,Shared room,8,9,126,40.86135,-74.114318,222
101845,Queens,Shared room,20,26,30,40.535562,-73.862601,325
101846,Bronx,Private room,6,195,198,40.614988,-73.843169,201
101847,Staten Island,Private room,11,188,79,40.689593,-73.821965,119
101848,Queens,Entire home/apt,10,28,30,40.852399,-74.187174,114
101849,Queens,Shared room,19,149,318,40.696549,-74.136443,297
101850,Bronx,Shared room,12,194,184,40.729896,-74.035894,380
101851,Bronx,Shared room,6,21,276,40.745004,-74.023452,53
101852,Staten Island,Private room,15,193,113,40.746815,-74.206407,46
101853,Brooklyn,Entire home/apt,10,93,172,40.827116,-73.79038,322
101854,Manhattan,Private room,16,93,87,40.871164,-74.24657,165
101855,Bronx,Entire home/apt,23,122,240,40.677467,-73.745368,75
101856,Brooklyn,Shared room,25,14,132,40.60604,-73.746413,140
101857,Queens,Entire home/apt,12,31,3,40.613987,-74.081926,339
101858,Queens,Shared room,5,25,254,40.809108,-74.181626,64
101859,Brooklyn,Private room,3,110,143,40.673313,-74.157647,188
101860,Bronx,Private room,22,75,130,40.595489,-73.77152,88
101861,Bronx,Entire home/apt,6,139,50,40.523807,-74.199448,169
101862,Staten Island,Private room,25,134,286,40.564934,-74.142393,213
101863,Brooklyn,Shared room,20,54,228,40.780551,-73.739983,153
101864,Staten Island,Private room,4,49,218,40.755735,-74.028452,304
101865,Brooklyn,Private room,23,23,266,40.876106,-73.940823,350
101866,Queens,Entire home/apt,14,103,365,40.665834,-74.0912,335
101867,Staten Island,Entire home/apt,25,167,286,40.651412,-73.779735,206
101868,Manhattan,Entire home/apt,9,77,229,40.767158,-73.886419,255
101869,Brooklyn,Shared room,27,21,202,40.513535,-73.931475,195
101870,Manhattan,Entire home/apt,21,192,125,40.636424,-73.751444,207
101871,Brooklyn,Shared room,10,98,17,40.70568,-73.77279,213
101872,Staten Island,Private room,5,19,47,40.888537,-73.724598,118
101873,Manhattan,Private room,21,100,68,40.66413,-73.712233,180
101874,Staten Island,Shared room,19,105,250,40.616019,-74.072066,176
101875,Bronx,Entire home/apt,27,127,93,40.898729,-73.924706,221
101876,Manhattan,Entire home/apt,30,121,7,40.59847,-74.136416,351
101877,Manhattan,Private room,14,124,34,40.678827,-73.735752,180
101878,Brooklyn,Private room,5,19,329,40.629665,-74.150634,127
101879,Queens,Entire home/apt,16,187,251,40.835846,-73.746731,300
101880,Queens,Entire home/apt,25,18,175,40.669603,-73.978348,207
101881,Brooklyn,Private room,13,87,332,40.761634,-74.046565,385
101882,Manhattan,Private room,2,41,102,40.735339,-73.885914,158
101883,Manhattan,Entire home/apt,26,104,169,40.771494,-73.905186,131
101884,Manhattan,Shared room,27,80,114,40.801614,-74.1875,263
101885,Manhattan,Private room,11,165,112,40.721757,-74.247084,200
101886,Bronx,Private room,23,35,340,40.810242,-74.03603,346
101887,Manhattan,Entire home/apt,23,73,114,40.67145,-74.03836,111
101888,Brooklyn,Entire home/apt,26,126,185,40.693278,-73.898071,51
101889,Staten Island,Shared room,11,111,30,40.762005,-74.043296,301
101890,Manhattan,Entire home/apt,11,69,234,40.839604,-73.947458,211
101891,Manhattan,Shared room,6,77,184,40.57346,-74.120593,276
101892,Bronx,Entire home/apt,14,4,93,40.614863,-73.762757,264
101893,Brooklyn,Shared room,21,159,110,40.535389,-74.163274,310
101894,Brooklyn,Entire home/apt,15,102,6,40.775425,-74.114814,340
101895,Brooklyn,Entire home/apt,14,73,171,40.606226,-73.922821,174
101896,Queens,Shared room,11,60,255,40.685198,-73.881055,234
101897,Manhattan,Shared room,5,75,44,40.819186,-73.995125,174
101898,Brooklyn,Entire home/apt,3,79,193,40.627469,-74.04747,106
101899,Brooklyn,Shared room,24,84,29,40.873337,-73.813892,373
101900,Staten Island,Shared room,15,139,50,40.855056,-73.810706,43
101901,Brooklyn,Shared room,22,7,291,40.551525,-73.966915,316
101902,Brooklyn,Private room,2,55,343,40.795478,-74.138784,217
101903,Staten Island,Entire home/apt,5,62,136,40.687554,-74.138518,90
101904,Brooklyn,Entire home/apt,26,170,359,40.54979,-73.937125,338
101905,Brooklyn,Entire home/apt,29,1,167,40.854357,-74.162707,297
101906,Staten Island,Private room,1,25,154,40.77906,-73.707225,379
101907,Staten Island,Entire home/apt,10,111,290,40.823958,-74.046147,101
101908,Queens,Entire home/apt,24,132,236,40.507906,-73.960553,193
101909,Bronx,Entire home/apt,11,141,24,40.548943,-74.153626,323
101910,Brooklyn,Entire home/apt,1,199,76,40.60656,-74.113214,64
101911,Manhattan,Shared room,28,152,64,40.636341,-74.221878,389
101912,Bronx,Shared room,24,137,125,40.708052,-74.140173,164
101913,Staten Island,Shared room,23,81,194,40.589825,-73.976191,53
101914,Bronx,Entire home/apt,2,8,288,40.798503,-73.849852,344
101915,Brooklyn,Shared room,19,196,30,40.659751,-73.952532,277
101916,Staten Island,Private room,21,176,298,40.887148,-73.769819,241
101917,Staten Island,Shared room,17,151,154,40.648843,-74.082555,351
101918,Staten Island,Entire home/apt,25,104,280,40.513667,-73.893485,62
101919,Manhattan,Private room,29,157,270,40.676139,-73.871866,206
101920,Manhattan,Private room,1,87,350,40.656769,-73.818541,120
101921,Brooklyn,Entire home/apt,19,138,298,40.798094,-74.071019,57
101922,Brooklyn,Entire home/apt,1,72,357,40.812596,-73.782804,256
101923,Staten Island,Private room,28,200,177,40.849514,-74.064382,364
101924,Bronx,Private room,18,41,336,40.757224,-73.805064,234
101925,Manhattan,Shared room,20,40,172,40.540063,-73.835122,353
101926,Staten Island,Private room,25,83,105,40.649151,-73.991772,132
101927,Manhattan,Entire home/apt,19,149,19,40.608438,-74.204407,60
101928,Staten Island,Private room,8,5,272,40.571297,-73.78899,201
101929,Queens,Shared room,9,139,145,40.606408,-73.889039,221
101930,Brooklyn,Private room,20,175,25,40.681473,-73.897937,51
101931,Bronx,Private room,22,194,34,40.581682,-73.918487,77
101932,Queens,Entire home/apt,14,46,17,40.867103,-73.88655,275
101933,Brooklyn,Entire home/apt,5,90,35,40.679491,-73.789922,143
101934,Staten Island,Private room,21,92,237,40.638784,-73.701793,210
101935,Queens,Private room,6,75,167,40.601435,-74.151696,338
101936,Staten Island,Private room,25,135,157,40.519758,-73.772079,190
101937,Manhattan,Shared room,17,89,161,40.687753,-74.131921,64
101938,Staten Island,Shared room,27,98,182,40.517222,-74.026589,373
101939,Brooklyn,Entire home/apt,13,72,80,40.511488,-74.204345,347
101940,Bronx,Entire home/apt,8,158,307,40.86574,-73.876727,276
101941,Manhattan,Shared room,5,25,20,40.698089,-73.89294,348
101942,Manhattan,Entire home/apt,9,9,186,40.612101,-73.810721,139
101943,Queens,Shared room,21,25,77,40.746244,-73.979949,144
101944,Staten Island,Entire home/apt,17,148,66,40.754233,-73.85145,95
101945,Bronx,Shared room,4,9,25,40.827924,-74.080104,314
101946,Manhattan,Private room,16,85,60,40.871954,-73.991575,94
101947,Queens,Private room,1,115,68,40.642962,-74.220114,204
101948,Manhattan,Shared room,1,90,223,40.892814,-74.073848,301
101949,Staten Island,Shared room,1,72,312,40.69249,-74.068747,120
101950,Manhattan,Private room,29,52,52,40.714559,-74.239246,71
101951,Bronx,Shared room,3,65,117,40.87905,-73.9613,358
101952,Bronx,Shared room,21,191,27,40.696926,-73.745322,191
101953,Brooklyn,Entire home/apt,23,200,267,40.622531,-73.933544,390
101954,Bronx,Entire home/apt,26,65,278,40.545346,-73.730628,355
101955,Brooklyn,Private room,11,55,142,40.782207,-73.912367,48
101956,Manhattan,Private room,24,62,57,40.534327,-74.14017,58
101957,Manhattan,Private room,8,104,344,40.685702,-73.757543,248
101958,Queens,Shared room,9,153,141,40.749186,-73.730808,361
101959,Queens,Private room,28,114,222,40.511777,-74.234737,189
101960,Bronx,Entire home/apt,17,167,172,40.592392,-73.786307,107
101961,Bronx,Entire home/apt,1,56,197,40.695735,-74.227361,133
101962,Bronx,Private room,22,99,292,40.556672,-74.049332,331
101963,Manhattan,Shared room,14,23,291,40.741269,-74.01406,259
101964,Staten Island,Private room,1,174,350,40.539442,-74.002245,79
101965,Brooklyn,Shared room,19,25,317,40.853262,-74.081624,381
101966,Queens,Private room,8,52,123,40.768927,-73.83459,399
101967,Manhattan,Shared room,18,21,26,40.865938,-73.835379,42
101968,Manhattan,Shared room,8,100,1,40.663183,-73.818877,331
101969,Queens,Shared room,11,19,176,40.60321,-74.08589,95
101970,Staten Island,Entire home/apt,17,174,15,40.533864,-74.022099,90
101971,Bronx,Private room,6,20,41,40.764812,-74.083731,68
101972,Manhattan,Shared room,14,146,274,40.718632,-74.157376,276
101973,Bronx,Private room,14,147,101,40.597562,-73.70527,51
101974,Manhattan,Private room,28,30,51,40.583245,-74.180245,337
101975,Staten Island,Shared room,28,125,188,40.663828,-73.738401,348
101976,Manhattan,Shared room,4,1,203,40.68749,-74.052187,195
101977,Queens,Shared room,11,178,38,40.528741,-74.011182,62
101978,Bronx,Private room,25,129,103,40.502399,-74.169879,363
101979,Queens,Entire home/apt,15,28,90,40.587745,-73.924286,333
101980,Queens,Shared room,13,152,277,40.73083,-73.739257,127
101981,Staten Island,Entire home/apt,5,134,218,40.775393,-73.736898,248
101982,Queens,Shared room,30,52,163,40.87127,-74.240772,381
101983,Manhattan,Entire home/apt,20,173,97,40.763027,-74.135609,61
101984,Brooklyn,Entire home/apt,1,157,323,40.692874,-74.248208,50
101985,Brooklyn,Entire home/apt,18,92,264,40.533074,-73.713102,397
101986,Bronx,Private room,8,126,186,40.760521,-73.930131,131
101987,Staten Island,Entire home/apt,7,11,312,40.788929,-73.888551,273
101988,Manhattan,Entire home/apt,20,124,145,40.688571,-73.724951,336
101989,Bronx,Entire home/apt,5,111,347,40.817893,-73.938117,143
101990,Staten Island,Private room,30,126,284,40.778159,-73.830313,197
101991,Queens,Entire home/apt,9,103,134,40.603035,-74.014294,188
101992,Staten Island,Private room,23,197,126,40.886665,-74.189406,255
101993,Manhattan,Shared room,1,174,158,40.818687,-73.794058,180
101994,Manhattan,Entire home/apt,18,61,359,40.633878,-74.213798,113
101995,Manhattan,Private room,10,118,166,40.735075,-74.191884,399
101996,Manhattan,Shared room,25,152,79,40.658448,-73.993199,51
101997,Manhattan,Private room,12,32,75,40.710033,-74.059921,249
101998,Manhattan,Private room,28,119,79,40.707092,-73.873169,177
101999,Brooklyn,Private room,5,102,238,40.781953,-74.182805,132
102000,Bronx,Shared room,2,194,35,40.75785,-73.836495,269
102001,Bronx,Shared room,6,12,199,40.636072,-74.220147,56
102002,Bronx,Shared room,3,124,26,40.547545,-74.144013,153
102003,Manhattan,Shared room,24,90,105,40.730769,-73.946811,390
102004,Brooklyn,Private room,20,49,183,40.843405,-73.911571,143
102005,Bronx,Shared room,30,61,50,40.564055,-74.138475,154
102006,Bronx,Shared room,7,159,241,40.573853,-74.09537,124
102007,Bronx,Shared room,13,107,90,40.503675,-73.986321,297
102008,Bronx,Shared room,18,119,49,40.564833,-74.023715,166
102009,Bronx,Shared room,18,117,65,40.752812,-74.114906,69
102010,Queens,Shared room,12,19,180,40.785321,-73.929194,293
102011,Staten Island,Entire home/apt,17,182,215,40.55538,-74.198152,308
102012,Manhattan,Private room,19,168,52,40.778883,-73.849228,373
102013,Bronx,Shared room,6,74,130,40.536168,-73.851058,55
102014,Queens,Entire home/apt,20,133,73,40.691927,-73.860402,253
102015,Bronx,Private room,7,57,349,40.62761,-73.733931,135
102016,Manhattan,Shared room,25,121,357,40.780954,-73.763517,163
102017,Staten Island,Private room,11,56,79,40.666648,-74.238806,123
102018,Bronx,Private room,7,185,120,40.634092,-74.120229,73
102019,Staten Island,Entire home/apt,28,77,42,40.525084,-74.189749,259
102020,Bronx,Shared room,10,54,137,40.787057,-73.907278,289
102021,Staten Island,Private room,20,17,284,40.65224,-74.148066,237
102022,Manhattan,Private room,4,84,38,40.770711,-73.916976,181
102023,Queens,Private room,7,125,37,40.877946,-74.0373,152
102024,Queens,Private room,23,79,181,40.855348,-74.149679,119
102025,Staten Island,Entire home/apt,16,178,102,40.700606,-73.792947,165
102026,Brooklyn,Private room,19,158,355,40.652408,-74.022513,375
102027,Manhattan,Private room,12,51,142,40.729404,-73.834471,369
102028,Queens,Private room,25,37,324,40.588001,-73.910902,87
102029,Manhattan,Entire home/apt,5,16,247,40.887525,-74.061403,63
102030,Brooklyn,Private room,19,44,315,40.57865,-74.230916,66
102031,Staten Island,Entire home/apt,3,70,65,40.757243,-73.969309,387
102032,Queens,Entire home/apt,12,162,211,40.548925,-74.158798,218
102033,Brooklyn,Shared room,15,43,112,40.513581,-74.106425,343
102034,Staten Island,Shared room,11,115,90,40.503693,-74.127946,258
102035,Staten Island,Entire home/apt,18,194,335,40.787087,-73.911607,128
102036,Brooklyn,Entire home/apt,4,101,3,40.881575,-74.17181,116
102037,Manhattan,Shared room,16,166,220,40.752573,-73.830259,176
102038,Bronx,Shared room,20,128,338,40.715048,-73.834787,122
102039,Queens,Shared room,14,80,268,40.863628,-74.176528,326
102040,Staten Island,Entire home/apt,7,96,105,40.546673,-73.929775,312
102041,Brooklyn,Entire home/apt,22,74,326,40.566887,-73.745025,194
102042,Bronx,Entire home/apt,8,77,298,40.597627,-73.756245,340
102043,Manhattan,Private room,16,193,310,40.631956,-74.06249,254
102044,Queens,Shared room,10,80,65,40.726021,-74.002549,81
102045,Manhattan,Private room,30,36,139,40.702808,-73.7152,386
102046,Queens,Entire home/apt,20,181,302,40.719152,-73.95776,90
102047,Manhattan,Entire home/apt,23,197,189,40.73818,-73.731586,251
102048,Brooklyn,Private room,30,182,91,40.51922,-73.968584,339
102049,Bronx,Private room,29,71,173,40.545669,-73.978155,262
102050,Bronx,Entire home/apt,26,117,97,40.812633,-73.956848,236
102051,Queens,Shared room,27,5,57,40.681682,-74.14196,194
102052,Brooklyn,Private room,7,77,30,40.861268,-73.962359,75
102053,Staten Island,Entire home/apt,7,35,264,40.885482,-73.702159,106
102054,Queens,Entire home/apt,2,58,34,40.871913,-73.884694,308
102055,Queens,Shared room,30,66,204,40.563576,-73.972061,249
102056,Queens,Private room,9,120,123,40.616493,-74.046157,149
102057,Queens,Private room,23,147,325,40.63117,-73.841236,71
102058,Manhattan,Entire home/apt,25,146,342,40.578814,-74.214604,329
102059,Queens,Entire home/apt,11,20,221,40.768542,-74.07897,358
102060,Queens,Entire home/apt,17,113,360,40.57858,-73.942009,69
102061,Bronx,Entire home/apt,23,154,11,40.628117,-73.910939,278
102062,Brooklyn,Shared room,13,127,113,40.733398,-74.196146,367
102063,Manhattan,Entire home/apt,25,1,310,40.730922,-73.952764,119
102064,Brooklyn,Shared room,28,38,184,40.855167,-73.928416,59
102065,Manhattan,Private room,15,157,243,40.7823,-73.803594,381
102066,Bronx,Private room,14,52,180,40.684877,-73.847376,254
102067,Brooklyn,Entire home/apt,10,57,263,40.629172,-73.982074,243
102068,Manhattan,Private room,24,155,103,40.638762,-73.797257,77
102069,Brooklyn,Entire home/apt,21,154,88,40.595199,-73.954503,340
102070,Bronx,Shared room,20,93,198,40.727312,-74.012728,253
102071,Manhattan,Shared room,18,132,204,40.79723,-74.007856,234
102072,Staten Island,Entire home/apt,12,64,146,40.80988,-74.177461,278
102073,Brooklyn,Entire home/apt,3,198,22,40.882625,-74.017319,213
102074,Manhattan,Entire home/apt,27,46,192,40.745896,-73.718168,274
102075,Bronx,Shared room,15,191,92,40.632137,-74.247276,175
102076,Bronx,Shared room,29,48,93,40.611634,-74.020905,40
102077,Bronx,Shared room,11,80,201,40.840643,-74.033568,367
102078,Queens,Private room,22,41,5,40.896126,-73.895771,173
102079,Brooklyn,Shared room,9,163,116,40.864968,-73.880369,128
102080,Brooklyn,Entire home/apt,22,51,132,40.773429,-73.939069,103
102081,Manhattan,Entire home/apt,11,146,178,40.544207,-73.833866,96
102082,Bronx,Private room,27,130,214,40.597204,-73.776257,269
102083,Bronx,Private room,28,56,193,40.724203,-73.72447,126
102084,Brooklyn,Private room,1,108,161,40.697993,-74.138708,227
102085,Bronx,Entire home/apt,23,63,13,40.536362,-74.138798,318
102086,Queens,Entire home/apt,11,145,228,40.531847,-73.965201,123
102087,Queens,Shared room,9,183,2,40.638773,-74.133854,377
102088,Staten Island,Entire home/apt,18,133,218,40.733554,-74.119119,122
102089,Bronx,Shared room,26,83,237,40.582575,-73.739396,297
102090,Queens,Private room,12,21,181,40.803335,-74.179946,370
102091,Brooklyn,Shared room,22,18,201,40.742273,-74.080795,220
102092,Manhattan,Entire home/apt,29,161,97,40.801303,-74.143421,172
102093,Bronx,Shared room,26,38,64,40.61123,-73.815834,293
102094,Manhattan,Entire home/apt,9,4,270,40.868225,-74.039714,42
102095,Brooklyn,Shared room,29,75,106,40.693364,-74.176238,141
102096,Queens,Entire home/apt,18,174,317,40.574185,-73.952495,123
102097,Brooklyn,Shared room,14,180,96,40.665598,-73.727135,96
102098,Manhattan,Private room,9,58,89,40.827924,-74.158939,271
102099,Brooklyn,Shared room,3,88,295,40.685082,-73.974523,48
102100,Brooklyn,Private room,5,42,241,40.632867,-73.821232,129
102101,Bronx,Shared room,30,111,213,40.524937,-74.177786,147
102102,Queens,Entire home/apt,30,0,210,40.715433,-73.935297,275
102103,Bronx,Entire home/apt,19,74,257,40.602608,-73.84889,101
102104,Manhattan,Private room,3,102,197,40.797922,-74.054757,149
102105,Brooklyn,Shared room,28,52,350,40.677056,-73.794793,200
102106,Brooklyn,Shared room,7,177,344,40.53761,-74.168073,358
102107,Manhattan,Entire home/apt,6,137,311,40.523044,-73.872717,87
102108,Queens,Shared room,27,134,282,40.771767,-73.742281,321
102109,Queens,Private room,24,104,230,40.887848,-74.118616,351
102110,Staten Island,Private room,3,181,333,40.665103,-73.932899,246
102111,Staten Island,Private room,25,19,182,40.589078,-74.031027,202
102112,Manhattan,Entire home/apt,9,127,349,40.734069,-74.044861,250
102113,Manhattan,Shared room,22,182,272,40.633578,-73.833269,143
102114,Manhattan,Private room,23,94,26,40.745443,-73.773878,292
102115,Manhattan,Entire home/apt,2,144,147,40.855298,-73.908168,57
102116,Bronx,Shared room,8,152,331,40.748958,-74.098293,378
102117,Bronx,Shared room,17,145,269,40.77659,-73.870156,89
102118,Manhattan,Entire home/apt,19,197,312,40.784712,-74.121308,59
102119,Manhattan,Entire home/apt,6,80,244,40.555996,-73.860771,288
102120,Manhattan,Shared room,15,163,266,40.569239,-74.087269,362
102121,Manhattan,Entire home/apt,21,59,240,40.595186,-73.853611,346
102122,Brooklyn,Shared room,17,108,41,40.795318,-73.886346,367
102123,Brooklyn,Private room,7,154,80,40.8198,-73.995821,178
102124,Manhattan,Private room,28,142,244,40.548134,-73.730771,156
102125,Bronx,Private room,23,168,141,40.769466,-74.095002,289
102126,Bronx,Private room,13,196,332,40.7113,-74.162853,288
102127,Manhattan,Entire home/apt,25,38,218,40.614313,-73.934487,128
102128,Brooklyn,Entire home/apt,22,32,2,40.608764,-74.019641,322
102129,Manhattan,Private room,22,120,278,40.869854,-74.221995,349
102130,Brooklyn,Entire home/apt,24,11,180,40.676122,-73.742112,75
102131,Brooklyn,Shared room,12,101,227,40.879185,-74.000345,166
102132,Bronx,Private room,19,177,322,40.593941,-74.002578,108
102133,Queens,Entire home/apt,4,91,173,40.715309,-73.97683,236
102134,Brooklyn,Shared room,27,141,265,40.616685,-73.825595,116
